SEND_TIME,TAGS_INCLUDED,TAGS_EXCLUDED,MESSAGE,HAS_LINK,SUBSCRIPTIONS_TARGETED,VIEWS,CLICKS,CLICKTHROUGH_RATE,ETL_RECORD_UPDATED
"May 9, 2024 8:26:39 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 65 @ CON 59 - END 3RD
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 17 PTS, 1 REB",yes,2065,28,28,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 9:05:47 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 82 @ CON 79 - FINAL
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 20 PTS, 1 REB, 1 AST",yes,2016,2,2,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 8:26:39 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 65 @ CON 59 - END 3RD
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 17 PTS, 1 REB",yes,2065,14,14,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 9:05:47 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 82 @ CON 79 - FINAL
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 20 PTS, 1 REB, 1 AST",yes,2016,27,27,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 9:05:47 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 82 @ CON 79 - FINAL
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 20 PTS, 1 REB, 1 AST",yes,2016,2,2,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 8:26:39 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 65 @ CON 59 - END 3RD
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 17 PTS, 1 REB",yes,2065,2,2,1.00,2024-06-07 09:05:20.000 Z
"May 9, 2024 9:05:47 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"NYL 82 @ CON 79 - FINAL
S Ionescu (NYL): 15 PTS, 6 REB, 2 AST
R Banham (CON): 20 PTS, 1 REB, 1 AST",yes,2016,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 7:35:31 PM",SEND2 I:START_GAME  IO:OR EO:OR,,"IND @ CON - START
Tune in to Disney+, ESPN+, ESPN2, WNBA League Pass to watch live!",yes,2263,53,53,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 7:58:51 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 13 @ CON 19 - END 1ST
N Smith (IND): 7 PTS, 3 REB
T Harris (CON): 9 PTS, 1 AST",yes,2149,51,51,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 8:30:48 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 39 @ CON 49 - HALF
N Smith (IND): 11 PTS, 5 REB, 1 AST
D Carrington (CON): 14 PTS, 3 REB, 1 AST",yes,2154,52,52,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 9:12:21 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 57 @ CON 64 - END 3RD
N Smith (IND): 13 PTS, 9 REB, 1 AST
D Bonner (CON): 16 PTS, 5 REB, 1 AST",yes,2164,44,44,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 9:42:09 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 71 @ CON 92 - FINAL
C Clark (IND): 20 PTS, 3 AST
D Bonner (CON): 20 PTS, 6 REB, 1 AST",yes,2160,42,42,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 9:42:09 PM",SEND2 I:END_GAME  IO:OR EO:OR,,"IND 71 @ CON 92 - FINAL
C Clark (IND): 20 PTS, 3 AST
D Bonner (CON): 20 PTS, 6 REB, 1 AST",yes,167,3,3,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 7:35:31 PM",SEND2 I:START_GAME  IO:OR EO:OR,,"IND @ CON - START
Tune in to Disney+, ESPN+, ESPN2, WNBA League Pass to watch live!",yes,2263,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 7:58:51 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 13 @ CON 19 - END 1ST
N Smith (IND): 7 PTS, 3 REB
T Harris (CON): 9 PTS, 1 AST",yes,2149,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 8:30:48 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 39 @ CON 49 - HALF
N Smith (IND): 11 PTS, 5 REB, 1 AST
D Carrington (CON): 14 PTS, 3 REB, 1 AST",yes,2154,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 9:12:21 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 57 @ CON 64 - END 3RD
N Smith (IND): 13 PTS, 9 REB, 1 AST
D Bonner (CON): 16 PTS, 5 REB, 1 AST",yes,2164,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 14, 2024 9:42:09 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"IND 71 @ CON 92 - FINAL
C Clark (IND): 20 PTS, 3 AST
D Bonner (CON): 20 PTS, 6 REB, 1 AST",yes,2160,8,8,1.00,2024-06-07 09:05:20.000 Z
"May 17, 2024 7:33:32 PM",SEND2 I:START_GAME  IO:OR EO:OR,,"WAS @ CON - START
Tune in to ION, WNBA League Pass to watch live!",yes,2341,45,45,1.00,2024-06-07 09:05:20.000 Z
"May 17, 2024 7:56:37 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"WAS 20 @ CON 18 - END 1ST
K Samuelson (WAS): 8 PTS, 3 AST
M Jefferson (CON): 5 PTS, 1 AST",yes,2235,71,71,1.00,2024-06-07 09:05:20.000 Z
"May 17, 2024 8:28:07 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"WAS 36 @ CON 36 - HALF
K Samuelson (WAS): 14 PTS, 3 AST
D Carrington (CON): 10 PTS, 4 REB, 2 AST",yes,2240,48,48,1.00,2024-06-07 09:05:20.000 Z
"May 17, 2024 9:08:08 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"WAS 56 @ CON 52 - END 3RD
K Samuelson (WAS): 16 PTS, 2 REB, 4 AST
D Carrington (CON): 16 PTS, 4 REB, 2 AST",yes,2240,42,42,1.00,2024-06-07 09:05:20.000 Z
"May 17, 2024 9:42:43 PM",SEND2 I:END_GAME  IO:OR EO:OR,,"WAS 77 @ CON 84 - FINAL
K Samuelson (WAS): 18 PTS, 3 REB, 4 AST
D Bonner (CON): 22 PTS, 6 REB, 1 AST",yes,172,2,2,1.00,2024-06-07 09:05:20.000 Z
"May 17, 2024 9:42:43 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"WAS 77 @ CON 84 - FINAL
K Samuelson (WAS): 18 PTS, 3 REB, 4 AST
D Bonner (CON): 22 PTS, 6 REB, 1 AST",yes,2240,57,57,1.00,2024-06-07 09:05:20.000 Z
"May 17, 2024 9:08:08 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"WAS 56 @ CON 52 - END 3RD
K Samuelson (WAS): 16 PTS, 2 REB, 4 AST
D Carrington (CON): 16 PTS, 4 REB, 2 AST",yes,2240,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 17, 2024 9:42:43 PM",SEND2 I:END_GAME  IO:OR EO:OR,,"WAS 77 @ CON 84 - FINAL
K Samuelson (WAS): 18 PTS, 3 REB, 4 AST
D Bonner (CON): 22 PTS, 6 REB, 1 AST",yes,172,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 17, 2024 9:42:43 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"WAS 77 @ CON 84 - FINAL
K Samuelson (WAS): 18 PTS, 3 REB, 4 AST
D Bonner (CON): 22 PTS, 6 REB, 1 AST",yes,2240,6,6,1.00,2024-06-07 09:05:20.000 Z
"May 17, 2024 9:42:43 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"WAS 77 @ CON 84 - FINAL
K Samuelson (WAS): 18 PTS, 3 REB, 4 AST
D Bonner (CON): 22 PTS, 6 REB, 1 AST",yes,2240,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 20, 2024 7:02:49 PM",SEND2 I:START_GAME  IO:OR EO:OR,,"CON @ IND - START
Tune in to ESPN, WNBA League Pass to watch live!",yes,2397,66,66,1.00,2024-06-07 09:05:20.000 Z
"May 20, 2024 7:23:54 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 26 @ IND 26 - END 1ST
A Thomas (CON): 11 PTS, 6 REB, 1 AST
C Clark (IND): 8 PTS, 1 REB",yes,2285,51,51,1.00,2024-06-07 09:05:20.000 Z
"May 20, 2024 7:53:59 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 41 @ IND 44 - HALF
A Thomas (CON): 14 PTS, 9 REB, 3 AST
K Mitchell (IND): 12 PTS, 3 AST",yes,2282,79,79,1.00,2024-06-07 09:05:20.000 Z
"May 20, 2024 8:33:01 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 64 @ IND 61 - END 3RD
A Thomas (CON): 20 PTS, 12 REB, 7 AST
K Mitchell (IND): 15 PTS, 4 AST",yes,2283,61,61,1.00,2024-06-07 09:05:20.000 Z
"May 20, 2024 9:14:05 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 88 @ IND 84 - FINAL
A Thomas (CON): 24 PTS, 14 REB, 9 AST
C Clark (IND): 17 PTS, 3 REB, 5 AST",yes,2285,68,68,1.00,2024-06-07 09:05:20.000 Z
"May 20, 2024 9:14:05 PM",SEND2 I:END_GAME  IO:OR EO:OR,,"CON 88 @ IND 84 - FINAL
A Thomas (CON): 24 PTS, 14 REB, 9 AST
C Clark (IND): 17 PTS, 3 REB, 5 AST",yes,179,3,3,1.00,2024-06-07 09:05:20.000 Z
"May 20, 2024 8:33:01 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 64 @ IND 61 - END 3RD
A Thomas (CON): 20 PTS, 12 REB, 7 AST
K Mitchell (IND): 15 PTS, 4 AST",yes,2283,8,8,1.00,2024-06-07 09:05:20.000 Z
"May 20, 2024 9:14:05 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 88 @ IND 84 - FINAL
A Thomas (CON): 24 PTS, 14 REB, 9 AST
C Clark (IND): 17 PTS, 3 REB, 5 AST",yes,2285,63,63,1.00,2024-06-07 09:05:20.000 Z
"May 20, 2024 9:14:05 PM",SEND2 I:END_GAME  IO:OR EO:OR,,"CON 88 @ IND 84 - FINAL
A Thomas (CON): 24 PTS, 14 REB, 9 AST
C Clark (IND): 17 PTS, 3 REB, 5 AST",yes,179,4,4,1.00,2024-06-07 09:05:20.000 Z
"May 20, 2024 9:14:05 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 88 @ IND 84 - FINAL
A Thomas (CON): 24 PTS, 14 REB, 9 AST
C Clark (IND): 17 PTS, 3 REB, 5 AST",yes,2285,3,3,1.00,2024-06-07 09:05:20.000 Z
"May 23, 2024 7:03:11 PM",SEND2 I:START_GAME  IO:OR EO:OR,,"MIN @ CON - START
Tune in to NBC Sports Boston to watch live!",yes,2451,74,74,1.00,2024-06-07 09:05:20.000 Z
"May 23, 2024 7:21:20 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"MIN 23 @ CON 14 - END 1ST
N Collier (MIN): 9 PTS, 2 REB
A Thomas (CON): 5 PTS",yes,2337,52,52,1.00,2024-06-07 09:05:20.000 Z
"May 23, 2024 7:48:48 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"MIN 35 @ CON 37 - HALF
N Collier (MIN): 14 PTS, 5 REB, 1 AST
B Jones (CON): 11 PTS, 2 REB, 2 AST",yes,2342,41,41,1.00,2024-06-07 09:05:20.000 Z
"May 23, 2024 8:33:35 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"MIN 51 @ CON 52 - END 3RD
N Collier (MIN): 20 PTS, 8 REB, 3 AST
D Bonner (CON): 13 PTS, 3 REB, 2 AST",yes,2346,44,44,1.00,2024-06-07 09:05:20.000 Z
"May 23, 2024 9:10:32 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"MIN 72 @ CON 72 - END 4TH
N Collier (MIN): 28 PTS, 9 REB, 4 AST
D Bonner (CON): 18 PTS, 3 REB, 2 AST",yes,2349,55,55,1.00,2024-06-07 09:05:20.000 Z
"May 23, 2024 9:35:34 PM",SEND2 I:END_GAME  IO:OR EO:OR,,"MIN 82 @ CON 83 - FINAL/OT
N Collier (MIN): 31 PTS, 11 REB, 4 AST
D Bonner (CON): 20 PTS, 3 REB, 2 AST",yes,182,3,3,1.00,2024-06-07 09:05:20.000 Z
"May 23, 2024 9:35:34 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"MIN 82 @ CON 83 - FINAL/OT
N Collier (MIN): 31 PTS, 11 REB, 4 AST
D Bonner (CON): 20 PTS, 3 REB, 2 AST",yes,2349,51,51,1.00,2024-06-07 09:05:20.000 Z
"May 23, 2024 9:35:34 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"MIN 82 @ CON 83 - FINAL/OT
N Collier (MIN): 31 PTS, 11 REB, 4 AST
D Bonner (CON): 20 PTS, 3 REB, 2 AST",yes,2349,4,4,1.00,2024-06-07 09:05:20.000 Z
"May 23, 2024 9:35:34 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"MIN 82 @ CON 83 - FINAL/OT
N Collier (MIN): 31 PTS, 11 REB, 4 AST
D Bonner (CON): 20 PTS, 3 REB, 2 AST",yes,2349,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 8:03:00 PM",SEND2 I:START_GAME  IO:OR EO:OR,,"CON @ CHI - START
Tune in to NBC Sports Boston to watch live!",yes,2495,70,70,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 8:21:36 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 23 @ CHI 24 - END 1ST
A Thomas (CON): 8 PTS, 3 REB, 3 AST
A Reese (CHI): 6 PTS, 2 REB",yes,2374,53,53,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 8:55:08 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 42 @ CHI 50 - HALF
D Carrington (CON): 10 PTS, 4 REB, 1 AST
A Reese (CHI): 10 PTS, 2 REB, 1 AST",yes,2376,51,51,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 9:33:15 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 69 @ CHI 67 - END 3RD
D Carrington (CON): 15 PTS, 6 REB, 1 AST
M Mabrey (CHI): 18 PTS, 4 REB, 1 AST",yes,2376,54,53,0.98,2024-06-07 09:05:20.000 Z
"May 25, 2024 10:18:22 PM",SEND2 I:END_GAME  IO:OR EO:OR,,"CON 86 @ CHI 82 - FINAL
D Bonner (CON): 19 PTS, 8 REB, 3 AST
M Mabrey (CHI): 23 PTS, 5 REB, 4 AST",yes,189,6,6,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 10:18:22 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 86 @ CHI 82 - FINAL
D Bonner (CON): 19 PTS, 8 REB, 3 AST
M Mabrey (CHI): 23 PTS, 5 REB, 4 AST",yes,2376,61,61,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 8:03:00 PM",SEND2 I:START_GAME  IO:OR EO:OR,,"CON @ CHI - START
Tune in to NBC Sports Boston to watch live!",yes,2495,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 8:21:36 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 23 @ CHI 24 - END 1ST
A Thomas (CON): 8 PTS, 3 REB, 3 AST
A Reese (CHI): 6 PTS, 2 REB",yes,2374,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 8:55:08 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 42 @ CHI 50 - HALF
D Carrington (CON): 10 PTS, 4 REB, 1 AST
A Reese (CHI): 10 PTS, 2 REB, 1 AST",yes,2376,1,1,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 9:33:15 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 69 @ CHI 67 - END 3RD
D Carrington (CON): 15 PTS, 6 REB, 1 AST
M Mabrey (CHI): 18 PTS, 4 REB, 1 AST",yes,2376,5,5,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 10:18:22 PM",SEND2 I:END_GAME  IO:OR EO:OR,,"CON 86 @ CHI 82 - FINAL
D Bonner (CON): 19 PTS, 8 REB, 3 AST
M Mabrey (CHI): 23 PTS, 5 REB, 4 AST",yes,189,2,2,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 10:18:22 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 86 @ CHI 82 - FINAL
D Bonner (CON): 19 PTS, 8 REB, 3 AST
M Mabrey (CHI): 23 PTS, 5 REB, 4 AST",yes,2376,22,22,1.00,2024-06-07 09:05:20.000 Z
"May 25, 2024 8:21:36 PM",SEND2 I:END_QUARTER  IO:OR EO:OR,,"CON 23 @ CHI 24 - END 1ST
A Thomas (CON): 8 PTS, 3 REB, 3 AST
A Reese (CHI): 6 PTS, 2 REB",yes,2374,1,1,1.00,2024-06-07 09:05:20.000 Z
